[2024-09-04 10:08:50.160] [info] odom: [x 1.1110, y -13.4352, yaw -2.7157] vel: [v 0.0000, w 0.5000] estimate: [x 6.9068, y -15.0025, yaw -2.6750] encoder: [x -2.7517, y -13.5638, yaw -1.7394]
[2024-09-04 10:08:50.180] [info] odom: [x 1.1111, y -13.4352, yaw -2.7045] vel: [v 0.0000, w 0.5000] estimate: [x 6.9068, y -15.0025, yaw -2.6654] encoder: [x -2.7519, y -13.5647, yaw -1.7281]
[2024-09-04 10:08:50.202] [info] odom: [x 1.1110, y -13.4352, yaw -2.6946] vel: [v 0.0000, w 0.5000] estimate: [x 6.9068, y -15.0025, yaw -2.6541] encoder: [x -2.7519, y -13.5647, yaw -1.7207]
[2024-09-04 10:08:50.221] [info] odom: [x 1.1110, y -13.4352, yaw -2.6849] vel: [v 0.0000, w 0.5000] estimate: [x 6.9068, y -15.0025, yaw -2.6442] encoder: [x -2.7517, y -13.5638, yaw -1.7094]
[2024-09-04 10:08:50.243] [info] odom: [x 1.1110, y -13.4352, yaw -2.6765] vel: [v 0.0000, w 0.5000] estimate: [x 6.9068, y -15.0025, yaw -2.6261] encoder: [x -2.7519, y -13.5647, yaw -1.6979]
[2024-09-04 10:08:50.259] [info] odom: [x 1.1110, y -13.4352, yaw -2.6666] vel: [v 0.0000, w 0.5000] estimate: [x 6.9068, y -15.0025, yaw -2.6261] encoder: [x -2.7519, y -13.5647, yaw -1.6905]
[2024-09-04 10:08:50.279] [info] odom: [x 1.1110, y -13.4352, yaw -2.6551] vel: [v 0.0000, w 0.5000] estimate: [x 6.9065, y -15.0024, yaw -2.6165] encoder: [x -2.7517, y -13.5639, yaw -1.6789]
[2024-09-04 10:08:50.300] [info] odom: [x 1.1110, y -13.4353, yaw -2.6450] vel: [v 0.0000, w 0.5000] estimate: [x 6.9038, y -15.0019, yaw -2.6066] encoder: [x -2.7518, y -13.5648, yaw -1.6672]
[2024-09-04 10:08:50.325] [info] odom: [x 1.1110, y -13.4353, yaw -2.6366] vel: [v 0.0000, w 0.5000] estimate: [x 6.9012, y -15.0013, yaw -2.5981] encoder: [x -2.7519, y -13.5648, yaw -1.6596]
[2024-09-04 10:08:50.341] [info] odom: [x 1.1110, y -13.4353, yaw -2.6266] vel: [v 0.0000, w 0.5000] estimate: [x 6.8994, y -15.0009, yaw -2.5908] encoder: [x -2.7518, y -13.5639, yaw -1.6483]
[2024-09-04 10:08:50.360] [info] odom: [x 1.1110, y -13.4353, yaw -2.6166] vel: [v 0.0000, w 0.5000] estimate: [x 6.8993, y -15.0008, yaw -2.5810] encoder: [x -2.7518, y -13.5648, yaw -1.6368]
[2024-09-04 10:08:50.385] [info] odom: [x 1.1110, y -13.4353, yaw -2.6052] vel: [v 0.0000, w 0.5000] estimate: [x 6.8993, y -15.0008, yaw -2.5709] encoder: [x -2.7518, y -13.5648, yaw -1.6292]
[2024-09-04 10:08:50.399] [info] odom: [x 1.1110, y -13.4353, yaw -2.5955] vel: [v 0.0000, w 0.5000] estimate: [x 6.8993, y -15.0008, yaw -2.5596] encoder: [x -2.7518, y -13.5640, yaw -1.6180]
[2024-09-04 10:08:50.419] [info] odom: [x 1.1109, y -13.4353, yaw -2.5907] vel: [v 0.0000, w 0.5000] estimate: [x 6.8993, y -15.0008, yaw -2.5498] encoder: [x -2.7518, y -13.5648, yaw -1.6069]
[2024-09-04 10:08:50.439] [info] odom: [x 1.1109, y -13.4353, yaw -2.5764] vel: [v 0.0000, w 0.5000] estimate: [x 6.8993, y -15.0008, yaw -2.5450] encoder: [x -2.7518, y -13.5648, yaw -1.6069]
[2024-09-04 10:08:50.460] [info] odom: [x 1.1109, y -13.4353, yaw -2.5668] vel: [v 0.0000, w 0.5000] estimate: [x 6.8993, y -15.0008, yaw -2.5307] encoder: [x -2.7518, y -13.5641, yaw -1.5884]
[2024-09-04 10:08:50.485] [info] odom: [x 1.1109, y -13.4353, yaw -2.5588] vel: [v 0.0000, w 0.5000] estimate: [x 6.8994, y -15.0004, yaw -2.5213] encoder: [x -2.7518, y -13.5649, yaw -1.5773]
[2024-09-04 10:08:50.508] [info] odom: [x 1.1109, y -13.4353, yaw -2.5477] vel: [v 0.0000, w 0.5000] estimate: [x 6.8995, y -14.9994, yaw -2.5138] encoder: [x -2.7518, y -13.5649, yaw -1.5697]
[2024-09-04 10:08:50.520] [info] odom: [x 1.1109, y -13.4353, yaw -2.5379] vel: [v 0.0000, w 0.5000] estimate: [x 6.8996, y -14.9982, yaw -2.5031] encoder: [x -2.7518, y -13.5641, yaw -1.5584]
[2024-09-04 10:08:50.538] [info] odom: [x 1.1109, y -13.4353, yaw -2.5296] vel: [v 0.0000, w 0.5000] estimate: [x 6.8997, y -14.9974, yaw -2.4938] encoder: [x -2.7518, y -13.5650, yaw -1.5471]
[2024-09-04 10:08:50.561] [info] odom: [x 1.1109, y -13.4353, yaw -2.5198] vel: [v 0.0000, w 0.5000] estimate: [x 6.8997, y -14.9974, yaw -2.4854] encoder: [x -2.7518, y -13.5649, yaw -1.5395]
[2024-09-04 10:08:50.579] [info] odom: [x 1.1109, y -13.4353, yaw -2.5083] vel: [v 0.0000, w 0.5000] estimate: [x 6.8997, y -14.9974, yaw -2.4757] encoder: [x -2.7518, y -13.5641, yaw -1.5279]
[2024-09-04 10:08:50.598] [info] odom: [x 1.1109, y -13.4353, yaw -2.4983] vel: [v 0.0000, w 0.5000] estimate: [x 6.8997, y -14.9974, yaw -2.4641] encoder: [x -2.7518, y -13.5649, yaw -1.5166]
[2024-09-04 10:08:50.618] [info] odom: [x 1.1108, y -13.4353, yaw -2.4898] vel: [v 0.0000, w 0.5000] estimate: [x 6.8996, y -14.9974, yaw -2.4541] encoder: [x -2.7518, y -13.5648, yaw -1.5086]
[2024-09-04 10:08:50.641] [info] odom: [x 1.1107, y -13.4353, yaw -2.4848] vel: [v 0.0000, w 0.5000] estimate: [x 6.8995, y -14.9974, yaw -2.4457] encoder: [x -2.7519, y -13.5639, yaw -1.4971]
[2024-09-04 10:08:50.662] [info] odom: [x 1.1107, y -13.4354, yaw -2.4696] vel: [v 0.0000, w 0.5000] estimate: [x 6.8995, y -14.9975, yaw -2.4406] encoder: [x -2.7518, y -13.5647, yaw -1.4855]
[2024-09-04 10:08:50.686] [info] odom: [x 1.1106, y -13.4354, yaw -2.4574] vel: [v 0.0000, w 0.5000] estimate: [x 6.8999, y -14.9973, yaw -2.4258] encoder: [x -2.7518, y -13.5647, yaw -1.4777]
[2024-09-04 10:08:50.714] [info] odom: [x 1.1106, y -13.4354, yaw -2.4478] vel: [v 0.0000, w 0.5000] estimate: [x 6.9014, y -14.9968, yaw -2.4146] encoder: [x -2.7519, y -13.5638, yaw -1.4662]
[2024-09-04 10:08:50.735] [info] odom: [x 1.1106, y -13.4355, yaw -2.4379] vel: [v 0.0000, w 0.5000] estimate: [x 6.9026, y -14.9964, yaw -2.4059] encoder: [x -2.7518, y -13.5647, yaw -1.4549]
[2024-09-04 10:08:50.766] [info] odom: [x 1.1106, y -13.4355, yaw -2.4282] vel: [v 0.0000, w 0.5000] estimate: [x 6.9036, y -14.9960, yaw -2.3966] encoder: [x -2.7518, y -13.5646, yaw -1.4473]
[2024-09-04 10:08:50.788] [info] odom: [x 1.1106, y -13.4355, yaw -2.4198] vel: [v 0.0000, w 0.5000] estimate: [x 6.9036, y -14.9960, yaw -2.3869] encoder: [x -2.7519, y -13.5638, yaw -1.4364]
